name,chr,strand,start,end
OR4F5,chr1,+,65418,71585
OR4F29,chr1,-,450739,451678
OR4F16,chr1,-,685715,686654
SAMD11,chr1,+,923922,944575
NOC2L,chr1,-,944202,959309
KLHL17,chr1,+,960583,965719
PLEKHN1,chr1,+,966481,975865
PERM1,chr1,-,975197,982117
HES4,chr1,-,998961,1000172
ISG15,chr1,+,1001137,1014540
AGRN,chr1,+,1020119,1056118
RNF223,chr1,-,1070966,1074306
C1orf159,chr1,-,1081817,1116361
TTLL10,chr1,+,1173879,1197936
TNFRSF18,chr1,-,1203507,1206592
TNFRSF4,chr1,-,1211339,1214153
SDF4,chr1,-,1216908,1232067
B3GALT6,chr1,+,1232236,1235041
C1QTNF12,chr1,-,1242445,1246722
UBE2J2,chr1,-,1253908,1273864
SCNN1D,chr1,+,1280435,1292029
ACAP3,chr1,-,1292389,1309609
PUSL1,chr1,+,1308596,1311677
INTS11,chr1,-,1311584,1324687
CPTP,chr1,+,1324755,1328896
TAS1R3,chr1,+,1331279,1335314
DVL1,chr1,-,1335275,1349418
MXRA8,chr1,-,1352688,1361777
AURKAIP1,chr1,-,1373729,1375207
CCNL2,chr1,-,1385710,1399335
MRPL20,chr1,-,1401908,1407293
ANKRD65,chr1,-,1418419,1421769
TMEM88B,chr1,+,1425870,1430255
VWA1,chr1,+,1434860,1442882
ATAD3C,chr1,+,1449688,1470163
ATAD3B,chr1,+,1471764,1497848
ATAD3A,chr1,+,1512161,1534685
TMEM240,chr1,-,1534777,1540624
SSU72,chr1,-,1541672,1574863
FNDC10,chr1,-,1598011,1600135
MIB2,chr1,+,1615453,1630605
MMP23B,chr1,+,1632162,1635263
CDK11B,chr1,-,1635224,1659012
SLC35E2B,chr1,-,1659528,1692795
CDK11A,chr1,-,1702378,1724357
NADK,chr1,-,1751231,1780457
GNB1,chr1,-,1785284,1891117
CALML6,chr1,+,1915107,1917296
TMEM52,chr1,-,1917589,1919279
CFAP74,chr1,-,1921950,2003837
GABRD,chr1,+,2019328,2030758
PRKCZ,chr1,+,2050410,2185395
FAAP20,chr1,-,2184460,2212720
SKI,chr1,+,2228318,2310213
MORN1,chr1,-,2321252,2391707
RER1,chr1,+,2391774,2405442
PEX10,chr1,-,2403963,2413797
PLCH2,chr1,+,2425979,2505532
PANK4,chr1,-,2508536,2526597
HES5,chr1,-,2528744,2530263
TNFRSF14,chr1,+,2555638,2565382
PRXL2B,chr1,+,2586490,2591469
MMEL1,chr1,-,2590638,2633016
TTC34,chr1,-,2635975,2801717
ACTRT2,chr1,+,3021466,3022903
PRDM16,chr1,+,3069167,3438621
ARHGEF16,chr1,+,3454664,3481113
MEGF6,chr1,-,3487950,3611508
TPRG1L,chr1,+,3625014,3630127
WRAP73,chr1,-,3630766,3652761
TP73,chr1,+,3652515,3736201
CCDC27,chr1,+,3746459,3771645
SMIM1,chr1,+,3772748,3775982
LRRC47,chr1,-,3778558,3796498
CEP104,chr1,-,3812085,3857396
DFFB,chr1,+,3857266,3885429
C1orf174,chr1,-,3889124,3900293
AJAP1,chr1,+,4654608,4792534
NPHP4,chr1,-,5862810,5992473
KCNAB2,chr1,+,5990926,6101193
CHD5,chr1,-,6101786,6180321
ENSG00000285629,chr1,-,6159429,6197757
RPL22,chr1,-,6185019,6209389
RNF207,chr1,+,6205474,6221299
ICMT,chr1,-,6221192,6235972
HES3,chr1,+,6244178,6245578
GPR153,chr1,-,6247352,6261098
ACOT7,chr1,-,6264268,6393767
HES2,chr1,-,6412417,6424670
ESPN,chr1,+,6424775,6461367
TNFRSF25,chr1,-,6460785,6466175
PLEKHG5,chr1,-,6467121,6520074
NOL9,chr1,-,6521346,6554513
TAS1R1,chr1,+,6555306,6579755
ZBTB48,chr1,+,6579993,6589280
KLHL21,chr1,-,6590723,6614607
PHF13,chr1,+,6613730,6624030
THAP3,chr1,+,6624867,6635586
DNAJC11,chr1,-,6634167,6701924
CAMTA1,chr1,+,6785453,7769706
VAMP3,chr1,+,7771295,7781432
PER3,chr1,+,7784290,7845177
UTS2,chr1,-,7843082,7853512
TNFRSF9,chr1,-,7915870,7943165
PARK7,chr1,+,7954290,7985505
ERRFI1,chr1,-,8004403,8026309
SLC45A1,chr1,+,8318113,8344167
RERE,chr1,-,8352396,8848921
ENO1,chr1,-,8860999,8879190
CA6,chr1,+,8945866,8975092
SLC2A7,chr1,-,9002972,9026423
SLC2A5,chr1,-,9035105,9088478
GPR157,chr1,-,9100304,9129102
H6PD,chr1,+,9234773,9271337
SPSB1,chr1,+,9292893,9369532
SLC25A33,chr1,+,9539464,9585173
TMEM201,chr1,+,9588910,9614877
PIK3CD,chr1,+,9651730,9729114
CLSTN1,chr1,-,9728925,9823984
CTNNBIP1,chr1,-,9848275,9910336
LZIC,chr1,-,9922112,9943407
NMNAT1,chr1,+,9943427,9985501
RBP7,chr1,+,9997205,10016021
UBE4B,chr1,+,10032831,10181239
KIF1B,chr1,+,10210569,10381603
PGD,chr1,+,10398591,10420511
CENPS-CORT,chr1,+,10430101,10452153
CENPS,chr1,+,10430432,10442808
CORT,chr1,+,10450030,10451998
DFFA,chr1,-,10456521,10472529
PEX14,chr1,+,10472287,10630758
CASZ1,chr1,-,10636603,10796650
C1orf127,chr1,-,10946470,10982037
TARDBP,chr1,+,11012343,11030528
MASP2,chr1,-,11026522,11047239
SRM,chr1,-,11054583,11060020
EXOSC10,chr1,-,11066617,11099869
MTOR,chr1,-,11106534,11262551
ANGPTL7,chr1,+,11189354,11195981
UBIAD1,chr1,+,11273197,11296049
DISP3,chr1,+,11479154,11537551
FBXO2,chr1,-,11637017,11655785
FBXO44,chr1,+,11654374,11663327
FBXO6,chr1,+,11664199,11674354
MAD2L2,chr1,-,11674479,11691650
DRAXIN,chr1,+,11691709,11725857
AGTRAP,chr1,+,11736083,11754802
C1orf167,chr1,+,11761786,11789585
MTHFR,chr1,-,11785722,11806455
CLCN6,chr1,+,11806095,11848079
NPPA,chr1,-,11845708,11848345
NPPB,chr1,-,11857463,11858945
KIAA2013,chr1,-,11919590,11926428
PLOD1,chr1,+,11934204,11975538
MFN2,chr1,+,11980180,12015211
MIIP,chr1,+,12019465,12032045
TNFRSF8,chr1,+,12063302,12144207
TNFRSF1B,chr1,+,12166990,12209228
VPS13D,chr1,+,12230029,12512047
DHRS3,chr1,-,12567909,12618210
AADACL4,chr1,+,12644084,12667076
AADACL3,chr1,+,12716109,12728760
CFAP107,chr1,+,12746199,12763699
PRAMEF12,chr1,+,12773737,12777906
PRAMEF1,chr1,+,12791396,12796628
PRAMEF11,chr1,-,12824604,12831410
HNRNPCL1,chr1,-,12847376,12848720
PRAMEF2,chr1,+,12857085,12861909
PRAMEF4,chr1,-,12879211,12886201
PRAMEF10,chr1,-,12892895,12898270
PRAMEF7,chr1,+,12916609,12920482
PRAMEF6,chr1,-,12938471,12947580
PRAMEF27,chr1,-,13049475,13056575
HNRNPCL3,chr1,+,13060768,13062878
PRAMEF25,chr1,+,13068676,13077884
HNRNPCL2,chr1,-,13115487,13116854
PRAMEF26,chr1,-,13148906,13156009
HNRNPCL4,chr1,-,13163913,13165631
PRAMEF9,chr1,+,13171847,13179459
PRAMEF13,chr1,-,13196187,13201409
