Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000169789	ENSG00000169789.10	22490397	22514637	Y	PRY
ENSG00000114374	ENSG00000114374.13	12537650	12860839	Y	USP9Y
ENSG00000169807	ENSG00000169807.10	22071756	22096007	Y	PRY2
ENSG00000198692	ENSG00000198692.10	20575776	20593154	Y	EIF1AY
ENSG00000183753	ENSG00000183753.10	22973819	23005465	Y	BPY2
ENSG00000236424	ENSG00000236424.7	9527880	9530682	Y	TSPY10
ENSG00000258992	ENSG00000258992.7	9466955	9469749	Y	TSPY1
ENSG00000244395	ENSG00000244395.6	21880076	21894526	Y	RBMY1D
ENSG00000169953	ENSG00000169953.12	18731440	18773735	Y	HSFY2
ENSG00000012817	ENSG00000012817.16	19703865	19744939	Y	KDM5D
ENSG00000158270	ENSG00000158270.12	316737	500722	18	COLEC12
ENSG00000172468	ENSG00000172468.14	18546691	18588963	Y	HSFY1
ENSG00000141401	ENSG00000141401.12	11981025	12030877	18	IMPA2
ENSG00000176679	ENSG00000176679.9	3579067	3580041	Y	TGIF2LY
ENSG00000169800	ENSG00000169800.14	22168542	22182982	Y	RBMY1F
ENSG00000198445	ENSG00000198445.4	16590751	16592810	22	CCT8L2
ENSG00000168461	ENSG00000168461.13	9708275	9862551	18	RAB31
ENSG00000182415	ENSG00000182415.11	18025787	18027746	Y	CDY2A
ENSG00000185894	ENSG00000185894.8	25030901	25062548	Y	BPY2C
ENSG00000205916	ENSG00000205916.12	24833843	24907040	Y	DAZ4
ENSG00000176105	ENSG00000176105.14	721588	812546	18	YES1
ENSG00000166974	ENSG00000166974.13	34976928	35143470	18	MAPRE2
ENSG00000129873	ENSG00000129873.8	17878260	17880220	Y	CDY2B
ENSG00000184895	ENSG00000184895.8	2786855	2787682	Y	SRY
ENSG00000129824	ENSG00000129824.16	2841602	2932000	Y	RPS4Y1
ENSG00000197705	ENSG00000197705.10	32672673	32773023	18	KLHL14
ENSG00000067646	ENSG00000067646.12	2935281	2982506	Y	ZFY
ENSG00000184792	ENSG00000184792.16	30693782	30907824	22	OSBP2
ENSG00000067048	ENSG00000067048.17	12904108	12920478	Y	DDX3Y
ENSG00000183878	ENSG00000183878.16	13234577	13480673	Y	UTY
ENSG00000185666	ENSG00000185666.15	32507820	33058381	22	SYN3
ENSG00000171873	ENSG00000171873.8	4220630	4249287	20	ADRA1D
ENSG00000101282	ENSG00000101282.9	958452	1002311	20	RSPO4
ENSG00000185721	ENSG00000185721.13	31399604	31530634	22	DRG1
ENSG00000125903	ENSG00000125903.4	227258	229886	20	DEFB129
ENSG00000101280	ENSG00000101280.8	869900	916334	20	ANGPT4
ENSG00000101489	ENSG00000101489.20	37243040	37565827	18	CELF4
ENSG00000154620	ENSG00000154620.6	13703899	13706024	Y	TMSB4Y
ENSG00000129864	ENSG00000129864.7	13985772	13986473	Y	VCY
ENSG00000089012	ENSG00000089012.14	1629152	1657779	20	SIRPG
ENSG00000187191	ENSG00000187191.16	24763069	24813492	Y	DAZ3
ENSG00000176635	ENSG00000176635.18	30080464	30177075	22	HORMAD2
ENSG00000188120	ENSG00000188120.16	23129355	23199010	Y	DAZ1
ENSG00000125827	ENSG00000125827.9	7977346	8019805	20	TMX4
ENSG00000178591	ENSG00000178591.7	87250	97094	20	DEFB125
ENSG00000125820	ENSG00000125820.6	21511017	21514064	20	NKX2-2
ENSG00000125845	ENSG00000125845.7	6767686	6780246	20	BMP2
ENSG00000101327	ENSG00000101327.9	1978757	1994285	20	PDYN
ENSG00000099721	ENSG00000099721.16	6865918	6911752	Y	AMELY
ENSG00000100365	ENSG00000100365.16	36860988	36878017	22	NCF4
ENSG00000092377	ENSG00000092377.15	6910686	7101970	Y	TBL1Y
ENSG00000125898	ENSG00000125898.13	833715	857463	20	FAM110A
ENSG00000173404	ENSG00000173404.5	20368104	20370949	20	INSM1
ENSG00000185982	ENSG00000185982.7	187853	189711	20	DEFB128
ENSG00000132640	ENSG00000132640.15	11890723	11926609	20	BTBD3
ENSG00000205944	ENSG00000205944.12	23219447	23291356	Y	DAZ2
ENSG00000231824	ENSG00000231824.4	5142911	5197503	18	AKAIN1
ENSG00000132874	ENSG00000132874.15	45212995	45683688	18	SLC14A2
ENSG00000198089	ENSG00000198089.16	31488688	31618588	22	SFI1
ENSG00000125816	ENSG00000125816.5	21395365	21397526	20	NKX2-4
ENSG00000141380	ENSG00000141380.14	26016253	26091217	18	SS18
ENSG00000168757	ENSG00000168757.13	6246223	6249019	Y	TSPY2
ENSG00000125851	ENSG00000125851.10	17226107	17484578	20	PCSK2
ENSG00000229549	ENSG00000229549.9	9357797	9360599	Y	TSPY8
ENSG00000228927	ENSG00000228927.10	9398421	9401223	Y	TSPY3
ENSG00000088876	ENSG00000088876.13	2481817	2524702	20	ZNF343
ENSG00000242389	ENSG00000242389.9	21903618	21918042	Y	RBMY1E
ENSG00000125815	ENSG00000125815.9	23491101	23496010	20	CST8
ENSG00000101230	ENSG00000101230.6	13221274	13300651	20	ISM1
ENSG00000165246	ENSG00000165246.15	14522573	14845654	Y	NLGN4Y
ENSG00000170367	ENSG00000170367.5	23875934	23879748	20	CST5
ENSG00000101463	ENSG00000101463.6	24469629	24666616	20	SYNDIG1
ENSG00000101323	ENSG00000101323.5	7882985	7940458	20	HAO1
ENSG00000088930	ENSG00000088930.8	21303331	21389825	20	XRN2
ENSG00000129862	ENSG00000129862.7	14056227	14056958	Y	VCY1B
ENSG00000139910	ENSG00000139910.20	26443090	26598033	14	NOVA1
ENSG00000100346	ENSG00000100346.18	39570753	39689735	22	CACNA1I
ENSG00000280969	ENSG00000280969.2	20756108	20781032	Y	RPS4Y2
ENSG00000099715	ENSG00000099715.15	5000226	5742224	Y	PCDH11Y
ENSG00000125870	ENSG00000125870.11	16729961	16742564	20	SNRPB2
ENSG00000172352	ENSG00000172352.5	24045229	24048019	Y	CDY1B
ENSG00000077984	ENSG00000077984.6	24949269	24959928	20	CST7
ENSG00000183795	ENSG00000183795.8	24607560	24639207	Y	BPY2B
