,PSAM Accuracy [Same sparsity],Adjusted PSAM Accuracy,PSAM Accuracy [Double sparsity],calibrated_sparsity
A1CF,53.71,53.76,55.28999999999999,0.33149999999999996
BOLL,53.545,53.52,54.769999999999996,0.22325
CELF1,49.305,51.915,50.035,0.224875
CNOT4,49.825,49.8,49.555,0.06775
CPEB1,50.029999999999994,50.029999999999994,50.55500000000001,0.0015
DAZ3,51.13999999999999,51.2,52.035,0.11875
DAZAP1,52.745,52.644999999999996,53.97,0.40425
EIF4G2,50.260000000000005,50.260000000000005,50.295,0.17125
ELAVL4,54.98,55.135,56.955,0.309
ESRP1,50.67,50.67,50.925,0.08775000000000001
EWSR1,50.01,50.01,49.97,0.0015
FUBP1,50.295,50.28,50.395,0.07975
FUBP3,50.125,50.11,53.445,0.0065
FUS,50.470000000000006,50.295,51.334999999999994,0.08775000000000001
HNRNPA0,53.515,53.5,53.87499999999999,0.27799999999999997
HNRNPA2B1,50.39,50.24999999999999,50.654999999999994,0.10675000000000001
HNRNPC,50.529999999999994,50.55,52.349999999999994,0.028499999999999998
HNRNPCL1,50.71,50.695,51.11,0.0365
HNRNPD,46.025,48.545,45.5,0.35300000000000004
HNRNPDL,51.245,51.22,51.480000000000004,0.1285
HNRNPF,47.11,48.135,45.540000000000006,0.160125
HNRNPH2,50.845,50.855,51.075,0.08125
HNRNPK,51.28,51.300000000000004,52.355,0.2625
HNRNPL,52.675000000000004,52.949999999999996,54.215,0.21175
IGF2BP1,49.745,51.085,51.345,0.394625
IGF2BP2,50.660000000000004,50.76500000000001,51.23,0.10124999999999999
ILF2,50.334999999999994,50.315,50.544999999999995,0.077
KHDRBS2,59.550000000000004,59.565,60.11,0.73275
KHDRBS3,50.1,50.1,50.51,0.005
KHSRP,50.470000000000006,50.2,50.660000000000004,0.07425
MBNL1,50.05500000000001,50.075,51.154999999999994,0.03125
MSI1,47.905,52.290000000000006,47.644999999999996,0.47225
NOVA1,56.25,56.315000000000005,58.91,0.3995
NUPL2,51.739999999999995,51.475,52.910000000000004,0.21150000000000002
PABPN1L,51.44,51.239999999999995,52.239999999999995,0.1245
PCBP1,50.05,50.05500000000001,50.14999999999999,0.009000000000000001
PCBP2,54.055,54.16,54.800000000000004,0.27299999999999996
PCBP4,50.06,50.06,51.925,0.0045000000000000005
PRR3,59.94500000000001,59.519999999999996,63.535,0.6204999999999999
PTBP3,48.975,50.895,49.1,0.20075
PUF60,50.07,50.019999999999996,50.205,0.004
PUM1,50.3,50.32,56.010000000000005,0.016
RBFOX2,51.949999999999996,51.93,60.785,0.068625
RBFOX3,64.11,63.955,67.93,0.737
RBM15B,50.965,50.975,51.235,0.067
RBM22,53.115,53.105000000000004,54.21,0.15975
RBM23,49.995,49.995,50.59,0.00025
RBM24,50.745,50.665000000000006,51.12,0.056249999999999994
RBM25,50.415,50.38,50.714999999999996,0.06874999999999999
RBM4,51.075,51.04,52.065,0.18
RBM41,52.89,51.68000000000001,62.295,0.17700000000000002
RBM45,56.11000000000001,54.825,58.93000000000001,0.457
RBM47,46.685,47.565000000000005,45.245000000000005,0.326375
RBM4B,53.625,53.37499999999999,54.025,0.43425
RBM6,52.47500000000001,52.190000000000005,54.03,0.302
RBMS2,50.315,50.275000000000006,55.715,0.01925
RBMS3,53.675,53.635,56.894999999999996,0.33999999999999997
RC3H1,50.334999999999994,50.315,50.455000000000005,0.07125000000000001
SF1,52.03,52.044999999999995,52.28,0.13324999999999998
SFPQ,51.205,51.455,51.54,0.17500000000000002
SNRPA,51.824999999999996,51.845,57.989999999999995,0.117
SRSF10,50.13999999999999,50.1,50.065000000000005,0.0545
SRSF11,50.44,50.3,50.91,0.14775000000000002
SRSF2,46.57,48.64,45.275,0.297
SRSF4,50.55500000000001,50.455000000000005,50.754999999999995,0.11925
SRSF5,50.29,50.15500000000001,50.42,0.0895
SRSF8,50.46000000000001,50.334999999999994,51.09,0.09225
SRSF9,50.455000000000005,50.334999999999994,50.470000000000006,0.0965
TAF15,49.94,49.94,50.029999999999994,0.042499999999999996
TARDBP,51.305,51.355,51.74999999999999,0.1345
TIA1,50.2,50.205,50.224999999999994,0.02175
TRA2A,52.945,52.935,53.620000000000005,0.26549999999999996
TRNAU1AP,52.27,52.44,53.185,0.16425
UNK,50.075,50.075,56.06,0.00475
ZCRB1,52.059999999999995,51.970000000000006,52.615,0.2245
ZFP36,54.574999999999996,54.555,54.655,0.2415
ZNF326,51.160000000000004,51.239999999999995,51.370000000000005,0.21625
