MXRA8	0	chr1	-	1288071	1293915	1289308,1289486,1289889,1290725,	1289228,1289410,1289672,1290624,
MFN2	1	chr1	+	12040238	12073571	12041910,12042647,12052520,12069783,	12041845,12042580,12052336,12069649,
SZRD1	0	chr1	+	16693578	16724637	16717919,	16717870,
C1QA	1	chr1	+	22962999	22966101	22964272,22965442,	22964103,22965326,
CLIC4	1	chr1	+	25071848	25170815	25124342,25140710,25153607,25166532,25168450,	25124233,25140585,25153501,25166351,25167264,
ZDHHC18	1	chr1	+	27153201	27184092	27180316,27182753,	27180217,27182676,
WDTC1	1	chr1	+	27561159	27634735	27630286,27631684,27633934,	27630112,27631492,27633191,
LAPTM5	0	chr1	-	31205316	31230667	31214563,31215396,	31214487,31215303,
CSF3R	1	chr1	-	36931644	36948879	36932428,36932912,36933252,36933822,36934858,36945681,	36932222,36932831,36933159,36933676,36934757,36945588,
PTPRF	1	chr1	+	43996561	44088028	44063724,44078471,44085244,44085892,44086250,44086663,44086903,	44063322,44078439,44084948,44085766,44086125,44086509,44086768,
PLK3	1	chr1	+	45265897	45271662	45269696,45269918,45270173,45270451,45271051,	45269603,45269835,45269981,45270322,45270938,
ANKRD13C	1	chr1	-	70726271	70820405	70736639,70740501,70790640,	70736539,70740399,70790536,
MOV10	1	chr1	+	113217043	113243368	113238196,113238873,113239156,113239468,113240733,113241100,113241411,113242432,113242604,113242962,	113238038,113238770,113239059,113239252,113240616,113240909,113241337,113242080,113242505,113242841,
RPRD2	1	chr1	+	150337187	150446032	150381528,150414434,150437203,	150381382,150414357,150437003,
TUFT1	1	chr1	+	151512781	151556059	151534332,151534641,151535162,151537090,151547481,151551302,151552208,151553518,	151534194,151534567,151535061,151537001,151547387,151551197,151552125,151553418,
CHTOP	0	chr1	+	153606525	153618782	153609129,153610924,153614905,153615840,	153609005,153610771,153614719,153615703,
RHBG	1	chr1	+	156339003	156355011	156351734,156351992,	156351597,156351859,
SLAMF8	0	chr1	+	159796540	159807039	159799982,159806585,	159799656,159806460,
KDM5B	1	chr1	-	202693619	202778598	202698603,202735632,	202698444,202735525,
SRP9	0	chr1	+	225965531	225978168	225974687,225976843,	225974564,225976736,
RYR2	1	chr1	+	237205505	237997288	237993930,	237993830,
AGBL5	1	chr2	+	27274549	27293488	27275411,27291962,	27275201,27291916,
LCLAT1	1	chr2	+	30670102	30867090	30682588,30699501,30775515,30785158,	30682418,30699443,30775359,30785012,
CCDC85A	1	chr2	+	56411258	56613308	56599613,56603070,	56599479,56602951,
GPAT2	1	chr2	-	96687694	96700664	96688771,96688974,	96688642,96688854,
BIN1	1	chr2	-	127805603	127864931	127808098,127808488,127808819,127809938,127815177,127825831,	127807997,127808374,127808730,127809831,127815049,127825739,
KIF5C	1	chr2	+	149632819	149883273	149876896,	149876690,
CYBRD1	1	chr2	+	172378858	172414643	172398486,	172398095,
COL5A2	1	chr2	-	189896622	190044605	189899881,189901529,189904289,189906419,189907499,189907984,189910633,189912988,189914180,189915402,189916951,189917528,189917744,189918203,189918674,189918938,189921752,189923253,189925509,189926341,189927644,189927789,189927996,189928759,189929381,189929783,189931508,189932839,189933610,189936819,189943295,189944757,189945769,189948763,189949939,189950498,189953498,189957146,189962056,	189899642,189901342,189903998,189906312,189907446,189907877,189910526,189912935,189914073,189915295,189916894,189917475,189917637,189918150,189918621,189918885,189921699,189923155,189925456,189926288,189927591,189927736,189927898,189928706,189929283,189929730,189931455,189932741,189933512,189936766,189943242,189944704,189945716,189948706,189949886,189950445,189953421,189957036,189962003,
CREB1	1	chr2	+	208394461	208462513	208440178,208441417,208441948,	208439996,208441355,208441834,
SCAP	1	chr3	-	47455203	47517603	47459739,47460012,47460333,47461194,47462262,47465531,47467101,47467659,47468752,47469157,47470160,	47459620,47459811,47460145,47460818,47462044,47465401,47466971,47467487,47468647,47468937,47470003,
LAMB2	1	chr3	-	49158547	49170551	49159293,49159518,49159803,49160485,	49159117,49159377,49159596,49160132,
UBA7	1	chr3	-	49842640	49851379	49843598,49845360,49846897,49847616,49847861,49848105,49848888,	49843506,49845169,49846820,49847411,49847696,49847950,49848706,
GYG1	1	chr3	+	148709239	148745419	148710559,148742059,148744289,	148710445,148741840,148744239,
CDS1	1	chr4	+	85504132	85572491	85525523,85564296,85566478,	85525396,85564177,85566375,
AFF1	1	chr4	+	87928140	88062190	88053560,88055846,	88053423,88055623,
GAB1	1	chr4	+	144257915	144395721	144317142,144355321,144359753,144361040,144361535,144378922,144380631,144381640,144387378,	144316970,144355241,144359152,144360955,144361232,144378833,144380538,144381517,144387256,
SLC35B3	1	chr6	-	8413301	8435716	8417727,8419910,8434663,	8417635,8419813,8434235,
ZNF76	1	chr6	+	35227449	35263762	35260821,35261705,35262346,	35260628,35261528,35262233,
BRPF3	1	chr6	+	36164521	36200567	36190042,36193141,36196833,	36189898,36193044,36196679,
C6orf89	0	chr6	+	36853640	36891298	36860632,36862379,36882469,36884350,36887477,	36860542,36862280,36882330,36884221,36887354,
PAQR8	1	chr6	+	52226926	52272575	52238424,	52238346,
TINAG	1	chr6	+	54173253	54254950	54185440,54186184,54208147,54212315,	54185339,54186095,54208024,54212165,
BEND6	0	chr6	+	56820090	56892140	56879323,56882197,56883355,	56879260,56882125,56883219,
MYCT1	0	chr6	+	153019030	153045702	153043388,	153042877,
QKI	1	chr6	+	163835675	163999628	163876469,163878583,163899928,163987827,	163876311,163878413,163899812,163986978,
LIMK1	1	chr7	+	73498270	73536855	73535379,	73535222,
SMO	1	chr7	+	128828713	128853386	128851351,	128851224,
NUB1	0	chr7	+	151038785	151075535	151049279,151071710,151073029,	151049179,151070984,151072934,
ADGRA2	0	chr8	+	37654774	37701494	37692916,37693288,37695457,37698367,	37692692,37693072,37695249,37698278,
PLAT	1	chr8	-	42032751	42065083	42037896,42038203,42039540,42042690,42045090,42046589,	42037760,42038008,42039455,42042599,42044916,42046452,
ACO1	1	chr9	+	32384601	32450830	32386436,32427434,32429501,32430572,32431841,32433830,32434699,32436395,32440585,32449079,	32386369,32427299,32429417,32430416,32431717,32433726,32434557,32436248,32440463,32448894,
GDA	0	chr9	+	74764383	74867140	74863254,74865757,	74863188,74865666,
SPTAN1	1	chr9	+	131314837	131395941	131355321,131367756,131369982,131370328,131371256,131371563,131374525,131375764,131378123,131380387,131381282,131383535,131386766,131387632,131388257,131388966,131389777,131390221,131392654,131394626,131394763,131394997,	131355262,131367575,131369883,131370131,131371153,131371401,131374388,131375660,131377911,131380266,131381150,131383437,131386607,131387382,131388048,131388670,131389665,131390204,131392600,131394406,131394710,131394851,
EGFL7	1	chr9	+	139553308	139567130	139562814,139564173,139564782,	139562546,139564058,139564621,
FBXW5	0	chr9	-	139834887	139839102	139835915,139836478,	139835703,139836207,
DPP7	1	chr9	-	140004994	140009170	140005402,140006481,140006682,140007257,140007571,140007803,140007948,140008480,140008834,140009028,	140005332,140006325,140006564,140007172,140007405,140007658,140007813,140008317,140008695,140008915,
CDC123	0	chr10	+	12237965	12292587	12257834,12279265,12279533,12288276,	12257739,12279143,12279461,12288053,
RHOBTB1	1	chr10	-	62629196	62704005	62631409,	62631202,
PLEKHA1	1	chr10	+	124134212	124202118	124151888,124166189,124187936,	124151819,124166092,124187792,
CPXM2	1	chr10	-	125505152	125651330	125514278,	125514179,
EIF4G2	1	chr11	-	10818597	10829520	10820660,10820971,10821303,10821895,10822194,10823321,	10820532,10820760,10821099,10821791,10821979,10823208,
SLC39A13	1	chr11	+	47430182	47438047	47435058,47436026,47436460,47436710,47437047,	47434951,47435976,47436328,47436590,47436839,
CTNND1	1	chr11	+	57520715	57587018	57556627,57559145,57561553,57563201,57564464,57581845,57583473,	57556509,57558051,57560632,57563049,57563929,57581783,57583387,
ARCN1	0	chr11	+	118443168	118473643	118444498,118452224,118454073,118454729,118455359,118461221,118463571,118464413,118468626,	118444335,118451923,118453894,118454524,118455195,118461056,118463424,118464305,118468422,
P3H3	0	chr12	+	6937575	6949015	6942973,	6942906,
