MXRA8	0	chr1	-	1288071	1293915	1289889,	1289672,
MFN2	1	chr1	+	12040238	12073571	12069783,	12069649,
SZRD1	0	chr1	+	16693578	16724637	16717919,	16717870,
C1QA	1	chr1	+	22962999	22966101	22965442,	22965326,
CLIC4	1	chr1	+	25071848	25170815	25168450,	25167264,
ZDHHC18	1	chr1	+	27153201	27184092	27180316,	27180217,
WDTC1	1	chr1	+	27561159	27634735	27631684,	27631492,
LAPTM5	0	chr1	-	31205316	31230667	31215396,	31215303,
CSF3R	1	chr1	-	36931644	36948879	36932428,	36932222,
PTPRF	1	chr1	+	43996561	44088028	44085892,	44085766,
PLK3	1	chr1	+	45265897	45271662	45270173,	45269981,
ANKRD13C	1	chr1	-	70726271	70820405	70740501,	70740399,
MOV10	1	chr1	+	113217043	113243368	113242604,	113242505,
RPRD2	1	chr1	+	150337187	150446032	150437203,	150437003,
TUFT1	1	chr1	+	151512781	151556059	151553518,	151553418,
CHTOP	0	chr1	+	153606525	153618782	153614905,	153614719,
CHTOP	0	chr1	+	153606525	153618782	153615840,	153615703,
RHBG	1	chr1	+	156339003	156355011	156351992,	156351859,
SLAMF8	0	chr1	+	159796540	159807039	159806585,	159806460,
KDM5B	1	chr1	-	202693619	202778598	202698603,	202698444,
SRP9	0	chr1	+	225965531	225978168	225976843,	225976736,
RYR2	1	chr1	+	237205505	237997288	237993930,	237993830,
AGBL5	1	chr2	+	27274549	27293488	27291962,	27291916,
LCLAT1	1	chr2	+	30670102	30867090	30682588,	30682418,
CCDC85A	1	chr2	+	56411258	56613308	56599613,	56599479,
GPAT2	1	chr2	-	96687694	96700664	96688771,	96688642,
BIN1	1	chr2	-	127805603	127864931	127808488,	127808374,
KIF5C	1	chr2	+	149632819	149883273	149876896,	149876690,
CYBRD1	1	chr2	+	172378858	172414643	172398486,	172398095,
COL5A2	1	chr2	-	189896622	190044605	189904289,	189903998,
CREB1	1	chr2	+	208394461	208462513	208441948,	208441834,
SCAP	1	chr3	-	47455203	47517603	47461194,	47460818,
SCAP	1	chr3	-	47455203	47517603	47465531,	47465401,
LAMB2	1	chr3	-	49158547	49170551	49159803,	49159596,
UBA7	1	chr3	-	49842640	49851379	49846897,	49846820,
GYG1	1	chr3	+	148709239	148745419	148742059,	148741840,
CDS1	1	chr4	+	85504132	85572491	85566478,	85566375,
AFF1	1	chr4	+	87928140	88062190	88055846,	88055623,
GAB1	1	chr4	+	144257915	144395721	144387378,	144387256,
SLC35B3	1	chr6	-	8413301	8435716	8434663,	8434235,
ZNF76	1	chr6	+	35227449	35263762	35261705,	35261528,
BRPF3	1	chr6	+	36164521	36200567	36193141,	36193044,
C6orf89	0	chr6	+	36853640	36891298	36887477,	36887354,
PAQR8	1	chr6	+	52226926	52272575	52238424,	52238346,
TINAG	1	chr6	+	54173253	54254950	54185440,	54185339,
BEND6	0	chr6	+	56820090	56892140	56879323,	56879260,
MYCT1	0	chr6	+	153019030	153045702	153043388,	153042877,
QKI	1	chr6	+	163835675	163999628	163876469,	163876311,
QKI	1	chr6	+	163835675	163999628	163899928,	163899812,
LIMK1	1	chr7	+	73498270	73536855	73535379,	73535222,
SMO	1	chr7	+	128828713	128853386	128851351,	128851224,
NUB1	0	chr7	+	151038785	151075535	151073029,	151072934,
ADGRA2	0	chr8	+	37654774	37701494	37698367,	37698278,
PLAT	1	chr8	-	42032751	42065083	42038203,	42038008,
ACO1	1	chr9	+	32384601	32450830	32449079,	32448894,
GDA	0	chr9	+	74764383	74867140	74863254,	74863188,
SPTAN1	1	chr9	+	131314837	131395941	131394626,	131394406,
